EmployeeID,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroups,IncomeGroups,YearsAtCompanyGroups
1,3,3,3,4,2,51,False,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1,11,0,1.0,6,1,0,0,"(50.0, 60.0]","(125000.0, 150000.0]","(-1.0, 2.0]"
2,2,4,3,2,4,31,True,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0,23,1,6.0,3,5,1,4,"(30.0, 40.0]","(25000.0, 50000.0]","(2.0, 5.0]"
3,3,3,2,2,1,32,False,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1,15,3,5.0,2,5,0,3,"(30.0, 40.0]","(175000.0, 200000.0]","(2.0, 5.0]"
4,2,3,4,4,3,38,False,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3,11,3,13.0,5,8,7,5,"(30.0, 40.0]","(75000.0, 100000.0]","(5.0, 10.0]"
5,3,3,4,1,3,32,False,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4,12,2,9.0,2,6,0,4,"(30.0, 40.0]","(10000.0, 25000.0]","(5.0, 10.0]"
6,3,3,3,2,2,46,False,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3,13,0,28.0,5,7,7,7,"(40.0, 50.0]","(25000.0, 50000.0]","(5.0, 10.0]"
7,3,4,1,3,1,28,True,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2,20,1,5.0,2,0,0,0,"(25.0, 30.0]","(50000.0, 75000.0]","(-1.0, 2.0]"
8,3,4,1,2,3,29,False,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2,22,3,10.0,2,0,0,0,"(25.0, 30.0]","(25000.0, 50000.0]","(-1.0, 2.0]"
9,3,4,2,4,3,31,False,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0,21,0,10.0,2,9,7,8,"(30.0, 40.0]","(10000.0, 25000.0]","(5.0, 10.0]"
10,3,3,2,1,3,25,False,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1,13,1,6.0,2,6,1,5,"(17.999, 25.0]","(125000.0, 150000.0]","(5.0, 10.0]"
